,NSSEC1_change_pct,Highest_Level_change_pct,inc_change_pct,hse_change,white_change_pct,scenario1_PCA1,scenario1_PCA2,scenario1_PCA3,scenario1_PCA_total,scenario1_PCA_total_zscore,scenario1_status,LSOA21CD
112,0.5152338721212988,0.3972823583602026,0.578471064539176,0.2262057331814017,0.2969757775548231,-0.0395528841790163,0.2592119094933507,-0.0722112212705378,0.1474478040437966,0.9969353822331436,ascent,E01034614
117,0.4574452867973109,0.4170888991248273,0.4953560371517027,0.2383426056259356,0.4701160957431561,0.0255253851660785,0.1043512928010766,0.0312412662239834,0.1611179441911385,1.08936298046935,ascent,E01034043
118,0.6472607638392218,0.5870566559189313,0.4953560371517027,0.2383426056259356,0.6479862405045148,0.3217849536169447,0.1128302225950012,0.1043748737244221,0.538990049936368,3.644260794101537,ascent,E01034044
119,0.667572593334287,0.5287885766927682,0.5017861395570373,0.2175637330473445,0.4886054178013473,0.2034560299772921,0.2220888321634246,0.064479068850806,0.4900239309915227,3.3131873215372867,ascent,E01034045
128,0.3916464025175226,0.4170888991248273,0.5894260538223386,0.2348794601961704,0.7927475992546941,0.2064068587652159,-0.1776400163750643,-0.0228412941838771,0.005925548206274493,0.04006427022954198,ascent,E01034035
130,0.5372621942497497,0.4838783970520497,0.4751131221719457,0.2418616082400518,0.5447900243657733,0.1422412842817279,0.1054613954956625,0.0806297102970541,0.3283323900744445,2.2199460949663363,ascent,E01034033
132,0.4588756973251323,0.4251497005988024,0.5798999761848058,0.2515249011327837,0.6251970761072095,0.1440887565745872,-0.0127783313727566,-0.0274112442610689,0.10389918094076168,0.702491097352132,ascent,E01035652
135,0.6712916607066228,0.6089359742054352,0.6646820671588473,0.2395714636816587,0.6237637953275047,0.3758297052739406,0.1565567479603831,-0.0546694080750573,0.47771704515926633,3.22997706275557,ascent,E01033862
137,0.8283507366614218,1.0,0.5198856870683496,0.2383426056259356,0.913573168983804,0.8183712131180555,0.1564438571480992,0.2197615239183716,1.1945765941845263,8.07686273290566,ascent,E01034387
138,0.6671434701759406,0.7307692307692307,0.5198856870683496,0.2383426056259356,0.7699584348573886,0.4955409424230875,0.087684678748321,0.1301687473935891,0.7133943685649976,4.823456626706131,ascent,E01034388
139,0.3850665140895436,0.3912943344081068,0.5198856870683496,0.2383426056259356,0.5920882900960299,0.0531003216265908,-0.0328716973767018,0.0126150253355123,0.0328436495854013,0.22206499829341514,ascent,E01034389
141,0.7451008439422115,0.8102257024412712,0.6372945939509407,0.2225908796389391,0.7739716210405618,0.611884547689012,0.1536652031497171,0.0397085437156694,0.8052582945543985,5.444574036786228,ascent,E01034393
142,0.7149191818051781,0.7337632427452785,0.6372945939509407,0.2225908796389391,0.7086140174860256,0.5132525223432121,0.1600181872178808,0.0121534311504676,0.6854241407115604,4.6343421805667235,ascent,E01034394
144,0.5944786153626092,0.5568862275449102,0.3608001905215527,0.2364434613579998,0.7359896803783861,0.2951936033014545,0.0038945947137935,0.2343148277795222,0.5334030257947702,3.606485378697621,ascent,E01034390
145,0.5359748247747103,0.4831874712114232,0.3608001905215527,0.2364434613579998,0.7050308155367636,0.2048966973163164,-0.0273272619920289,0.209932978039918,0.38750241336420554,2.620010986862593,ascent,E01034391
147,0.5282506079244743,0.4555504375863657,0.4443915217909026,0.2462743258037849,0.680951698437724,0.1926234841039538,-0.0205741512486607,0.1206320347274207,0.2926813675827138,1.978899672028502,ascent,E01034581
152,0.6557001859533687,0.6427913403961307,0.6646820671588473,0.2354045177290703,0.7087573455639959,0.4382039179203792,0.0971810623777608,-0.0375640676229787,0.49782091267516126,3.3659048710827117,ascent,E01034207
153,0.4687455299671005,0.4573929064947029,0.4772564896403905,0.2498491856022521,0.6008313028522287,0.1275888122891793,0.0219273979019392,0.0759054896484638,0.2254216998395823,1.5241384566600045,ascent,E01034203
156,0.4551566299527965,0.3277291570704744,0.5803762800666825,0.2337623165091494,0.6818116669055467,0.1152932591031423,-0.1036261735286283,-0.04454483193327,-0.032877746358756,-0.22229553600808405,ascent,E01034202
158,0.4437133457302246,0.4583141409488714,0.7573231721838533,0.2242677123131577,0.5423534470402752,0.152396337691842,0.0665772311002686,-0.203796029905434,0.015177538886676611,0.10261953800853485,ascent,E01034225
159,0.6207981690745243,0.5426070935052971,0.7573231721838533,0.2242677123131577,0.5836319334957719,0.311175826155743,0.1413140424787842,-0.1681920532989475,0.28429781533557974,1.9222161566776355,ascent,E01034226
