,NSSEC1_change_pct,Highest_Level_change_pct,hse_change,white_change_pct,scenarios_2_PCA1,scenarios_2_PCA2,scenarios_2_PCA_total,scenarios_2_PCA_total_zscore,scenarios_2_status,LSOA21CD
1431,0.391217279359176,0.312989405803777,0.2354380320396809,0.6740719506951411,0.0575300667859124,-0.1307217624046866,-0.0731916956187742,-0.575429588154224,ascent,E01001146
1434,0.3899299098841368,0.3502994011976048,0.2422526085305091,0.6310735273039988,0.0549766178797144,-0.0798587342223316,-0.0248821163426172,-0.1956220010807489,ascent,E01001149
1435,0.4560148762694894,0.3783970520497466,0.2460788256585562,0.7011609574315608,0.1471185616755034,-0.0963138962322842,0.05080466544321921,0.3994238344275485,ascent,E01001150
1438,0.462451723644686,0.349147858129894,0.2469446120159975,0.6534327074673929,0.1029864867532486,-0.0689679341241717,0.03401855262907691,0.2674522234176979,ascent,E01001153
1439,0.429695322557574,0.3261169967756794,0.2367786044641061,0.6117242367779848,0.0467273489262045,-0.059711136684609,-0.012983787758404502,-0.10207791443192242,ascent,E01001154
1441,0.4066657130596481,0.3500690925840626,0.24867618473088,0.6101476279203095,0.0507219739463357,-0.0563627528120501,-0.005640778865714402,-0.04434753194506515,ascent,E01001156
1443,0.4299814046631383,0.3800092123445416,0.252977187925911,0.6694854522000859,0.1170053430128405,-0.080526548452258,0.036478794560582506,0.2867945270689182,ascent,E01001158
1448,0.4284079530825346,0.4055734684477199,0.2561051902495699,0.7007309731976494,0.1514957610972576,-0.0943226003441876,0.057173160753069996,0.44949263803058376,ascent,E01001163
1449,0.4066657130596481,0.3542146476278213,0.2239593806555399,0.6478429124265442,0.0742233507450468,-0.085445896409476,-0.011222545664429207,-0.08823111385969841,ascent,E01001164
1469,0.4182520383350021,0.3254260709350529,0.2320866009786178,0.6297835746022645,0.0513455128061626,-0.0791576395974059,-0.027812126791243307,-0.218657602203071,ascent,E01001184
1473,0.4256901730796739,0.372639336711193,0.237784033782425,0.6001146624623764,0.0672027721419606,-0.030969136017328,0.0362336361246326,0.28486710324523784,ascent,E01001188
1474,0.447003289944214,0.3820819898664209,0.2458274683289764,0.5670058764511968,0.0640100906299099,0.0084969470394169,0.0725070376693268,0.5700468403090443,ascent,E01001189
1475,0.4962094121012731,0.3998157531091663,0.2384543199946377,0.6069944102049591,0.1224516604251921,0.004109697918806,0.1265613583439981,0.9950193077566211,ascent,E01001190
1476,0.3982262909455013,0.3466144633809304,0.2238197376946623,0.630213558836176,0.0547075229752401,-0.0782411989809216,-0.023533676005681507,-0.1850206280537464,ascent,E01001191
1477,0.4215419825489915,0.3629663749424228,0.2371137475702124,0.5771821699871005,0.0451967639531265,-0.018786288751054,0.026410475202072504,0.20763788487211535,ascent,E01001192
1479,0.4485767415248176,0.3933671119299862,0.2443751815358491,0.6433997420094596,0.1179435050146127,-0.0466125953103011,0.0713309097043116,0.5608001788564879,ascent,E01001194
1483,0.4185381204405665,0.40879778903731,0.2762137766159483,0.5753189049734844,0.0745297380878827,0.0037720203805865,0.0783017584684692,0.615604656325318,ascent,E01001198
1485,0.3567443856386783,0.372639336711193,0.2337623165091494,0.6184606564425971,0.0448386694694084,-0.0733166669634319,-0.028477997494023508,-0.22389264561920538,ascent,E01001200
1486,0.4417107709912744,0.4030400736987563,0.2013651495855397,0.5721656872581338,0.0743922497155574,0.0100308452151465,0.08442309493070389,0.6637303089644356,ascent,E01001201
1493,0.4015162351594908,0.4265315522800552,0.2707397725495453,0.5205675791887633,0.0440205403045368,0.0483473676360624,0.09236790794059921,0.7261920464552352,ascent,E01001208
1513,0.4288370762408811,0.4124827268539843,0.308555086355207,0.5703024222445177,0.0812530028305584,0.0148144928625478,0.0960674956931062,0.7552780273000271,ascent,E01001230
