LSOA21CD,area_m2_2021
E01001692,75298.5
E01001693,137605
E01001694,383077
E01001695,99798.7
E01001696,140525
E01001697,152972
E01001698,127023
E01001699,685614
E01001700,138128
E01001701,951989
E01001702,87852.6
E01001703,88718.7
E01001704,142188
E01001705,175095
E01001708,174238
E01001710,87548.4
E01001712,164821
E01001714,152036
E01001715,77072.8
E01001716,83534.5
E01001717,97817.4
E01001718,101030
E01001719,62909.3
E01001720,101386
E01001722,104513
E01001723,117687
E01001724,117709
E01001725,91414.6
E01001726,53491.4
E01001727,106540
E01001728,92715.3
E01001729,126723
E01001730,131402
E01001731,174260
E01001732,63537.2
E01001733,147552
E01001734,134026
E01001735,134343
E01001736,90361.3
E01001737,98128.2
E01001738,91963.2
E01001739,124399
E01001740,83041.7
E01001741,82834.5
E01001742,128292
E01001744,137379
E01001745,111396
E01001746,51092.6
E01001747,141687
E01001749,105523
E01001750,148064
E01001751,153377
E01001753,75968.1
E01001755,103146
E01001756,162053
E01001757,49321.1
E01001758,126777
E01001759,102064
E01001760,144637
E01001761,106683
E01001762,140851
E01001763,109302
E01001764,104705
E01001765,124924
E01001767,104263
E01001768,103814
E01001769,123537
E01001770,128961
E01001772,66774.3
E01001773,121948
E01001774,179310
E01001775,129199
E01001776,102250
E01001777,157085
E01001780,109243
E01001781,151887
E01001783,61570.5
E01001784,76865.2
E01001785,90904.2
E01001786,1129720
E01001787,220018
E01001788,112971
E01001789,96142.3
E01001790,55087.5
E01001791,106234
E01001792,173695
E01001793,156432
E01001794,128925
E01001795,102522
E01001796,91640
E01001798,106099
E01001799,107543
E01001800,81592.5
E01001801,145135
E01001802,105010
