LSOA21CD,park_pct
E01000211,0.117179279
E01000213,0.101719597
E01000214,0.06722931
E01000216,0.003099274
E01000217,0.007265843
E01000221,0.162840492
E01000222,0.353126878
E01000223,0.070334141
E01000226,0.093943807
E01000227,0.048029002
E01000228,0.637874047
E01000232,0.018378201
E01000233,0.066141475
E01000234,0.081267676
E01000235,0.413870547
E01000236,0.309213193
E01000238,0.331533625
E01000239,0.086741709
E01000241,0.132478816
E01000242,0.08368671
E01000243,0.016675162
E01000244,0.100262736
E01000245,0.003456368
E01000246,0.50150046
E01000247,0.117622226
E01000248,0.045255182
E01000249,0.091072803
E01000250,0.531759297
E01000254,0.274906626
E01000255,0.32299989
E01000256,0.329191824
E01000257,0.299120321
E01000258,0.430765223
E01000260,0.394587967
E01000261,0.227656625
E01000263,0.03034512
E01000264,0.003467174
E01000265,0.098454505
E01000269,0.085213426
E01000272,0.142734171
E01000273,0.09947684
E01000274,0.062258346
E01000275,0.093584143
E01000276,0.185871068
E01000279,0.169189609
E01000283,0.186534844
E01000285,0.06034856
E01000286,0.000893484
E01000289,0.506539288
E01000290,0.344200502
E01000291,0.269985387
E01000293,0.042589722
E01000294,0.00149964
E01000297,0.134745791
E01000300,0.004220101
E01000301,0.016063813
E01000305,0.221733534
E01000306,0.055416022
E01000307,0.132412699
E01000309,0.033922533
E01000311,0.311537813
E01000312,0.089930672
E01000314,0.005167417
E01000315,0.334357847
E01000316,0.174219993
E01000318,0.023161903
E01000319,0.099573264
E01000322,0.009827093
E01000323,0.025857622
E01000328,0.25624896
E01000329,0.481781458
E01000332,0.356189093
E01000336,0.013068257
E01000337,0.14658361
E01000339,0.025839842
E01000340,0.012058614
E01000341,0.000206953
E01000342,0.15303355
E01000343,0.21288771
E01000345,0.164979268
E01000346,0.021052137
E01000347,0.006251881
E01000349,0.155487726
E01000351,0.081282459
E01000352,0.021251767
E01000354,0.028866324
E01000355,0.435082029
E01000358,0.017932446
E01000363,0.001268974
E01000364,0.375515802
E01000366,0.034307724
E01000367,0.058705128
E01000369,0.078390985
E01000372,0.001087725
E01000377,0.013436458
E01000379,0.034806541
E01000381,0.783715223
E01000382,0.542575435
E01000384,0.211022991
E01000386,0.225279223
E01000387,0.064327167
E01000388,0.624779885
E01000391,0.456733629
E01000392,0.00045977
E01000393,0.017983986
E01000398,0.128494089
E01000400,0.010680977
E01000406,0.203285049
E01000407,0.054659539
E01000410,0.010693108
E01000414,0.000533652
E01000416,0.134473312
E01000417,0.545313378
E01000419,0.000239412
E01000420,0.001589687
E01000421,0.003172783
E01000422,0.038753255
E01000425,0.020443338
E01000426,0.03087849
E01000427,0.089058007
E01000433,0.112399532
E01000437,0.00563377
E01000438,0.049711317
E01000440,0.007239592
E01000441,0.020541916
E01000446,0.135568665
E01000451,0.017824641
E01000453,0.134348723
E01000454,0.005884737
E01000456,0.010458371
E01000458,0.168089583
E01000460,0.182219595
E01000461,0.119685467
E01000464,0.02533299
E01000467,0.108851347
E01000470,0.28482179
E01000475,0.11609427
E01000476,0.000507801
E01000478,0.048164
E01000480,0.008378435
E01000481,0.200343263
E01000483,0.30061662
E01000484,0.452634339
E01000489,0.000388397
E01000492,0.003318041
E01000497,0.007119838
E01000501,0.068086988
E01000503,0.271484864
E01000505,0.013804181
E01000507,0.228826892
E01000511,0.068499592
E01000513,0.117373959
E01000514,0.210715389
E01000515,0.245488765
E01000518,0.410063574
E01000519,0.631552956
E01000520,0.025739083
E01000522,0.273666222
E01000525,0.014349871
E01000526,0.044744692
E01000527,0.027101088
E01000532,0.030895502
E01000533,0.043299209
E01000535,0.007797224
E01000536,0.032574289
E01000538,0.148930523
E01000541,0.272483612
E01000544,0.120024174
E01000547,0.041205311
