,Conversion_2011_2018_pct,New_build_2011_2018_pct,house_change_pct,all_household_dependent_children_change_pct,all_household_non_dependent_children_change_pct,professional_occupations_change_pct,other_higer_occupation_change_pct,avg_churn,Elementary_occupations_change_pct,Resident_in_UK_4_and_Less_change_pct,all_usual_residents_change_pct,professional_occupations_2011_pct,All_usual_residents_2011,cluste_robust,LSOA21CD,classification_robust,classification_cluster_robust,LSOA21NM,borough_name,space
394,-0.062847811,-0.010262932,0.309938196,-0.030627215,-0.080837169,-0.232719394,-0.625470473,-0.453381857,-0.035818529,-0.524728078,-0.769270382,-0.165151932,0.216262088,2,E01002890,potential gen,cluster3,Kensington and Chelsea 010C,Kensington and Chelsea,inner
395,0.617726067,-0.013079469,-0.170313598,-0.081433796,0.068039019,-0.35265774,-0.785623207,-0.132690465,0.109777219,0.262703706,-0.58837186,0.004415719,-0.185545882,3,E01002891,gen,cluster4,Kensington and Chelsea 010D,Kensington and Chelsea,inner
396,0.329393089,-0.009325763,-0.273810252,0.198906486,0.582665091,-0.097187196,-1.176825702,-0.132690465,0.451854245,-0.296046435,-1.08088528,0.099521306,0.23910401,3,E01002892,gen,cluster4,Kensington and Chelsea 010E,Kensington and Chelsea,inner
397,0.405354458,0.000928001,-0.148014194,0.515390283,-0.098015249,-0.208429741,-0.689654923,0.272973945,0.106061895,0.284894004,0.195133034,0.25456351,-0.314042215,3,E01002897,gen,cluster4,Kensington and Chelsea 020D,Kensington and Chelsea,inner
398,-0.23085116,-0.018735257,-0.084491538,1.161893502,-0.188584795,-0.54674025,-0.94994801,-0.198088647,0.419521066,-0.492791955,0.017168808,-0.112899082,-0.015254965,2,E01002898,potential gen,cluster3,Kensington and Chelsea 017E,Kensington and Chelsea,inner
399,0.491113698,-0.014019995,0.124573913,-0.141220603,0.022532851,0.152873973,-0.203431756,-0.198088647,0.916963547,-0.337381552,0.271407524,0.01975998,-0.201556863,2,E01002900,potential gen,cluster3,Kensington and Chelsea 018B,Kensington and Chelsea,inner
400,-0.261410713,-0.018735257,-0.185906889,0.133329308,-0.445623504,-0.297614492,-0.368603144,-0.066661115,0.546186855,0.522342324,-0.527600563,-0.186128214,-0.373481932,2,E01002901,potential gen,cluster3,Kensington and Chelsea 018C,Kensington and Chelsea,inner
401,-0.215858813,0.010162553,0.334839569,0.459329043,0.066403704,-0.194774741,-0.53293573,-0.262856267,0.150900954,-0.083805884,-0.505117512,0.008817292,-0.117152576,2,E01002903,potential gen,cluster3,Kensington and Chelsea 018E,Kensington and Chelsea,inner
402,0,-0.016846622,0.184026883,0.190225017,0.531091306,-0.790698879,-0.993455721,-0.132690465,0.439700375,-0.192868365,-0.74106107,0.082960536,0.030818171,2,E01002911,potential gen,cluster3,Kensington and Chelsea 019D,Kensington and Chelsea,inner
403,0.63546756,0.302646616,-0.222126355,0.381254617,0.681832505,0.051874448,-0.656245334,0.067293476,-0.147835617,-0.385974212,-0.228405464,-0.020048506,0.31634578,3,E01002913,gen,cluster4,Kensington and Chelsea 021E,Kensington and Chelsea,inner
404,-0.276982988,-0.018735257,0.683205186,0.197168915,0.890126943,-0.072495313,-0.452226882,-0.638254578,-0.074771758,0.153726461,-0.071358118,0.003680751,-0.020678452,2,E01002920,potential gen,cluster3,Kingston upon Thames 014D,Kingston upon Thames,outer
405,-0.292753698,-0.016846622,0.700551214,0.257482418,-0.534647092,-0.040867281,-0.346987251,-0.758371003,-0.025113615,-0.118496859,-0.037018193,0.145402438,-0.099447517,2,E01002924,potential gen,cluster3,Kingston upon Thames 014E,Kingston upon Thames,outer
406,-0.292753698,0.230795772,0.644976151,0.216317244,-0.589501026,-0.30132817,-0.200717503,-0.453381857,0.196296616,-0.102894153,0.118297183,0.197524604,0.262154486,2,E01002931,potential gen,cluster3,Kingston upon Thames 007C,Kingston upon Thames,outer
407,-0.143673066,-0.014019995,0.691093228,0.373149679,0.240458835,-0.433113551,-0.352392564,-0.515633358,0.246103131,0.253145627,0.056177073,0.311174326,0.118877848,2,E01002937,potential gen,cluster3,Kingston upon Thames 004D,Kingston upon Thames,outer
408,-0.23085116,0.022044821,0.785893068,-0.333123803,0.845072315,-0.370282669,-0.21293003,-0.698625569,-0.064194617,-0.033118612,-0.306989788,-0.056432205,-0.087914328,2,E01002952,potential gen,cluster3,Kingston upon Thames 002A,Kingston upon Thames,outer
409,-0.246034287,0.043622301,0.688320992,0.040910471,0.610526449,0.001433125,-0.237342602,-0.577257388,-0.353571858,-0.026115261,-0.023472537,-0.071883341,-0.319692335,2,E01002953,potential gen,cluster3,Kingston upon Thames 002B,Kingston upon Thames,outer
410,-0.292753698,-0.011200938,0.803307471,0.099189149,0.288686332,-0.50393292,0.097661749,-0.698625569,0.094939124,0.133895521,-0.128569628,0.27651046,-0.198564133,2,E01002959,potential gen,cluster3,Kingston upon Thames 002E,Kingston upon Thames,outer
411,-0.292753698,-0.017790517,0.623730655,-0.014928258,0.518286356,-0.069445563,0.231880083,-0.515633358,-0.01795765,0.164688583,-0.10969202,0.206450871,0.004377361,2,E01002960,potential gen,cluster3,Kingston upon Thames 006B,Kingston upon Thames,outer
412,0.224927154,0.387777025,-0.370553115,0.502474002,-0.298419453,0.093608334,-0.165413813,0.135219902,0.347674167,0.01900588,0.162420335,0.220364903,0.088023094,3,E01002987,gen,cluster4,Kingston upon Thames 011B,Kingston upon Thames,outer
413,-0.215858813,0.018403419,0.127090911,0.219807033,0.337489746,0.198421175,0.048460865,-0.132690465,-0.22924436,-0.064842451,-0.376809935,0.017578393,0.331324252,2,E01002988,potential gen,cluster3,Kingston upon Thames 011C,Kingston upon Thames,outer
414,0.156398864,-0.016846622,0.234501496,0.580413475,0.076226793,-0.586413699,-0.21293003,-0.198088647,0.087543278,0.131684139,-0.132477123,0.421942814,-0.010906824,2,E01002991,potential gen,cluster3,Kingston upon Thames 009E,Kingston upon Thames,outer
